Frame,Time (s),Label,Confidence,"Bounding Box (x1,y1,x2,y2)"
69,1.15,No Helmet,0.42,"(682,158,742,240)"
69,1.15,With Helmet,0.33,"(201,71,235,118)"
69,1.15,No Helmet,0.31,"(554,84,597,143)"
69,1.15,With Helmet,0.27,"(423,143,479,211)"
69,1.15,No Helmet,0.26,"(200,71,234,117)"
70,1.17,With Helmet,0.69,"(287,91,335,164)"
70,1.17,With Helmet,0.61,"(200,69,237,116)"
70,1.17,No Helmet,0.56,"(556,79,600,139)"
70,1.17,With Helmet,0.37,"(422,141,479,210)"
70,1.17,No Helmet,0.34,"(680,160,741,241)"
71,1.18,With Helmet,0.64,"(286,89,334,164)"
71,1.18,No Helmet,0.57,"(559,73,603,135)"
71,1.18,With Helmet,0.55,"(205,64,239,113)"
71,1.18,With Helmet,0.43,"(419,140,478,209)"
71,1.18,No Helmet,0.36,"(461,128,505,198)"
72,1.2,With Helmet,0.60,"(285,87,334,162)"
72,1.2,No Helmet,0.51,"(561,73,605,135)"
72,1.2,With Helmet,0.45,"(420,138,478,208)"
72,1.2,With Helmet,0.41,"(209,63,244,112)"
72,1.2,No Helmet,0.37,"(465,127,505,197)"
73,1.22,With Helmet,0.58,"(284,87,330,160)"
73,1.22,No Helmet,0.53,"(564,72,607,134)"
73,1.22,With Helmet,0.47,"(424,138,478,208)"
73,1.22,With Helmet,0.36,"(211,60,246,108)"
73,1.22,No Helmet,0.34,"(467,126,503,196)"
74,1.23,With Helmet,0.60,"(415,136,477,206)"
74,1.23,No Helmet,0.58,"(567,72,609,133)"
74,1.23,With Helmet,0.56,"(281,86,328,162)"
74,1.23,With Helmet,0.42,"(212,59,247,107)"
74,1.23,No Helmet,0.35,"(471,128,503,193)"
75,1.25,With Helmet,0.62,"(278,86,326,158)"
75,1.25,No Helmet,0.60,"(570,72,610,134)"
75,1.25,With Helmet,0.53,"(424,136,477,206)"
75,1.25,With Helmet,0.42,"(214,57,251,106)"
75,1.25,No Helmet,0.34,"(463,124,501,193)"
76,1.27,With Helmet,0.64,"(277,85,325,158)"
76,1.27,With Helmet,0.53,"(219,53,253,104)"
76,1.27,No Helmet,0.45,"(574,67,613,134)"
76,1.27,With Helmet,0.45,"(417,133,476,206)"
76,1.27,No Helmet,0.40,"(468,124,502,191)"
77,1.28,With Helmet,0.57,"(276,84,325,157)"
77,1.28,With Helmet,0.47,"(412,130,476,204)"
77,1.28,No Helmet,0.42,"(578,63,619,130)"
77,1.28,No Helmet,0.40,"(469,126,502,190)"
77,1.28,With Helmet,0.36,"(222,53,257,101)"
78,1.3,No Helmet,0.66,"(580,59,621,123)"
78,1.3,With Helmet,0.65,"(412,127,477,202)"
78,1.3,With Helmet,0.60,"(276,81,325,154)"
78,1.3,With Helmet,0.51,"(224,50,261,97)"
79,1.32,With Helmet,0.64,"(274,78,324,153)"
79,1.32,With Helmet,0.62,"(412,127,478,198)"
79,1.32,No Helmet,0.60,"(582,57,626,123)"
79,1.32,With Helmet,0.51,"(227,47,261,96)"
79,1.32,No Helmet,0.30,"(460,112,503,187)"
80,1.33,With Helmet,0.68,"(413,126,478,197)"
80,1.33,With Helmet,0.59,"(273,77,324,155)"
80,1.33,No Helmet,0.58,"(586,58,628,122)"
80,1.33,No Helmet,0.40,"(461,112,504,185)"
80,1.33,With Helmet,0.32,"(230,42,264,94)"
81,1.35,No Helmet,0.67,"(589,57,633,119)"
81,1.35,With Helmet,0.60,"(271,77,323,150)"
81,1.35,With Helmet,0.56,"(423,125,478,195)"
81,1.35,No Helmet,0.39,"(458,111,503,183)"
81,1.35,With Helmet,0.27,"(234,41,267,90)"
82,1.37,No Helmet,0.68,"(590,50,635,120)"
82,1.37,With Helmet,0.68,"(271,76,322,149)"
82,1.37,No Helmet,0.49,"(459,108,505,182)"
82,1.37,With Helmet,0.47,"(424,124,478,194)"
83,1.38,With Helmet,0.71,"(270,75,321,149)"
83,1.38,No Helmet,0.69,"(595,45,641,116)"
83,1.38,No Helmet,0.52,"(460,103,508,182)"
83,1.38,With Helmet,0.39,"(423,122,478,195)"
84,1.4,No Helmet,0.75,"(598,46,644,111)"
84,1.4,With Helmet,0.65,"(270,74,321,147)"
84,1.4,No Helmet,0.50,"(467,106,508,179)"
84,1.4,With Helmet,0.33,"(422,120,479,193)"
85,1.42,With Helmet,0.71,"(266,68,321,143)"
85,1.42,No Helmet,0.61,"(600,44,647,111)"
85,1.42,No Helmet,0.46,"(465,104,509,178)"
85,1.42,With Helmet,0.43,"(427,120,479,190)"
86,1.43,With Helmet,0.71,"(266,68,321,143)"
86,1.43,No Helmet,0.55,"(604,44,650,107)"
86,1.43,With Helmet,0.47,"(427,119,481,190)"
86,1.43,No Helmet,0.40,"(469,105,509,177)"
87,1.45,With Helmet,0.69,"(266,66,323,140)"
87,1.45,No Helmet,0.50,"(606,45,653,110)"
